SKU,Title,Vendor,Price,"Barcode (ISBN, UPC, GTIN, etc.)",Cost
"=""FAM-20134051""",SIEMENS 6ES7954-8LE03-0AA0 - Simatic Memory Card,SIEMENS,135.95,"=""6ES7954-8LE03-0AA0""",23.15
"=""FAM-12798""",SKF SNL 526  -  Split plummer (pillow) block housing 24 mm,SKF,339.95,"=""SNL526""",41.31
"=""FAM-20127738""",BUSSMANN 170M8611  -  Fuse 1100A 1000V 3BKN/75,BUSSMANN,187.99,"=""170M8611""",38.01
"=""FAM-20099763""",Allen Bradley 1492-CABLE025Z,ALLEN BRADLEY,203.95,"=""1492-CABLE025Z""",20.86
"=""FAM-20018832""",IFM DI0001 DIA2010-ZROA -  Speed Sensor,IFM EFECTOR,203.95,"=""DI0001""",26.0
"=""FAM-20116136""",Schneider Electric Rotation Monitoring Sensor XSAV12373EX,SCHNEIDER ELECTRIC,102.95,"=""XSAV12373EX""",15.16
"=""FAM-53553""",SKF 22318 E  -  Spherical roller bearing 90x190x64 mm,SKF,214.95,"=""22318 E""",31.97
"=""FAM-20111484""",Schneider Electric Limit Switch XCKJ390541H29EX,SCHNEIDER ELECTRIC,135.95,"=""XCKJ390541H29EX""",9.41
"=""FAM-20042962""",Baumer Electric Absolute Encoder GXMMW B203P33,BAUMER ELECTRIC,340.95,"=""B203P33""",53.17
"=""FAM-20039740""",Baumer Electric Absolute Encoder GXMMW A203P33,BAUMER ELECTRIC,412.95,"=""A203P33""",61.01
"=""FAM-20088549""",Thermo Ramsey Tilt Sensor Probe 20-59-NM-25 mercury free,THERMO RAMSEY,334.95,"=""2059NM25""",22.9
"=""FAM-20075460""",Thermo Ramsey 20-59-NM-75  -  Tilt Sensor Probe,THERMO RAMSEY,339.95,"=""092215-20-59-NM-75""",25.39
"=""FAM-20083655""",Pepperl+Fuchs Frequency Converter with Direction and Synchronization Monitor KFU8-UFT-2.D,PEPPERL+FUCHS,339.95,"=""KFU8-UFT-2.D""",46.4
"=""FAM-20132737""",SIEMENS JJY:023424020001 -  Braking Resistor,SIEMENS,498.95,"=""JJY023424020001""",45.18
"=""FAM-20072641""",Hydac HDA 4744-A-400-104  -  Pressure Transmitter,HYDAC,339.95,"=""HDA4744A400104""",65.89
"=""FAM-20084506""","IFM DS2003  -  Monitor, Evaluation Unit",IFM EFECTOR,541.95,"=""DS2003""",82.02
"=""FAM-20039009""",Flender EWD 20-250 VUC  -  Rotational Speed Monitor,SIEMENS,677.95,"=""EWD-20-250-VUC""",71.54
"=""FAM-20052288""",Sensonics PZDC-56B05310  - Vibration Sensor,SENSONICS,303.95,"=""PZDC56B05310""",30.94
"=""FAM-20113558""",ABB EMERGI-LITE Exit Light EX10W-P4/1LA,ABB,154.99,"=""EX10W-P4/1LA""",23.15
"=""FAM-20117422""",ABB TTH300-Y0/OPT  -  Temperature Transmitter,ABB,306.95,"=""TTH300-Y0-OPT""",50.32
"=""FAM-20109719""",Baumer Electric Inclination Sensor GNAMG 0213P32,BAUMER ELECTRIC,474.95,"=""GNAMG0213P32""",58.16
"=""FAM-20101443""",Conveyor Components DBX-100  -  Damaged Belt Detector Unit 250VAC,CONVEYOR COMPONENTS,305.95,"=""DBX100""",40.6
"=""FAM-20055172""",BIKON 1006  -  Locking Assembly 220X285,BIKON,117.95,"=""1006-220-285""",21.98
"=""FAM-20124520""",Pepperl+Fuchs Ultrasonic Sensor UB6000-F42-I-V15,PEPPERL+FUCHS,216.95,"=""UB6000-F42-I-V15""",42.43
"=""FAM-20050605""",Conveyor Components DB-100  -  Damaged Belt Detector Unit 250VAC,CONVEYOR COMPONENTS,340.95,"=""DB-100""",41.26
"=""FAM-20111793""",Pepperl+Fuchs Switch Amplifier KFA5-SOT2-EX2,PEPPERL+FUCHS,203.95,"=""KFA5-SOT2-EX2""",38.21
"=""FAM-20064819""",Carlo Gavazzi Transceiver G34404443230,CARLO GAVAZZI,239.95,"=""G34404443230""",15.26
"=""FAM-20005716""",Schaeffler Spherical Bearing GE160-UK-2RS,SCHAEFFLER GROUP,1079.95,"=""GE160-UK-2RS""",58.54
"=""FAM-20133241""",Mersen Ferraz Shawmut A100P100-4TA  -  Semiconductor Fuse 1000VAC,MERSEN FERRAZ SHAWMUT,270.95,"=""A100P100-4TA""",38.57
"=""FAM-20134426""",Endress+Hauser TMT121-A41BA - Temperature Transmitter iTEMP PCP,ENDRESS & HAUSER,203.95,"=""TMT121-A41BA""",34.75
"=""FAM-20098917""",Pepperl+Fuchs Inductive Sensor NRN75-FP-A2-P3-V1,PEPPERL+FUCHS,135.95,"=""NRN75-FP-A2-P3-V1""",26.05
"=""FAM-20134831""",Phoenix Contact MINI MCR-2-UNI-UI-2UI-C Signal duplicator,PHOENIX CONTACT,170.95,"=""MINI MCR-2-UNI-UI-2UI-C""",26.46
"=""FAM-20048704""",Kiepe PRS101  -  Pull-rope Emergency Stop Switch,KIEPE,339.95,"=""PRS101""",28.19
"=""FAM-20051967""",Federal Signal Horn 350WB-120 VAC Series A,FEDERAL SIGNAL,142.97,"=""350WB-120""",22.9
"=""FAM-20119431""","Eaton Crouse-Hinds TECK200 15 PVC  -  Cable Gland 2"" NPT",EATON,104.95,"=""TECK200-15PVC""",16.64
"=""FAM-20127114""",Turck MK13-P-EX0/24VDC  -  Isolating Switching Amplifier,TURCK,167.95,"=""MK13PEX024VDC""",22.85
"=""FAM-20127595""",Pepperl+Fuchs Sensor NJ10-30GK-SN-10M,PEPPERL+FUCHS,63.95,"=""NJ10-30GK-SN-10M""",23.35
"=""FAM-20133446""",JUMO 902230  -  Mineral-Insulated RTD Temperature Probe,JUMO,131.95,"=""902230""",12.67
"=""FAM-20133242""",Mersen Ferraz Shawmut AOS-S  -  Add-on Switch,MERSEN FERRAZ SHAWMUT,68.95,"=""X203386-AOS-S""",6.87
"=""FAM-20068284""",SKF PWKRE 80.2RS  -  Cam follower (stud-type track roller) with eccentric collar,SKF,135.95,"=""PWKRE-80-2RS""",29.97
"=""FAM-20134084""",Allen Bradley Safety Limit Switch 440P-MMHB22M9,ALLEN BRADLEY,135.95,"=""440P-MMHB22M9""",10.28
"=""FAM-20072642""",Eaton Vickers SBV11-8-C-0-240AGP  -  Solenoid Valve,EATON,81.95,"=""SBV11-8-C-0-240AGP""",10.18
"=""FAM-20082982""",Pepperl+Fuchs Inductive Sensor NBB20-U1K-E2-3G-3D,PEPPERL+FUCHS,68.95,"=""NBB20-U1K-E2-3G-3D""",9.92
"=""FAM-20056111""",Schneider Electric F Connector cassette for RG-6 cable MA0329001,SCHNEIDER ELECTRIC,116.95,"=""MA0329001""",15.16
"=""FAM-20006298""",SKF Roller Bearing 24024 CC/W33,SKF,337.95,"=""24024 CC/W33""",26.46
"=""FAM-29256""",SKF AH24128  -  Withdrawal sleeve 135 mm Bore,SKF,191.95,"=""AH24128""",27.06
"=""FAM-20060255""",Schneider Electric Inductive Proximity Sensor XSAV11373EX,SCHNEIDER ELECTRIC,81.95,"=""XSAV11373EX""",7.89
